max_energy_eV,max_photocurrent,quality_factor,prominence
4.714000294147062959e+02,6.873134670983681576e-12,1.257066666666663757e+01,1.374945569270134005e-01
3.878000241981822001e+02,1.157584922636265190e-09,3.878000000000884484e+03,4.688902342166630099e-02
3.878000241981822001e+02,1.315985359669874339e-08,-0.000000000000000000e+00,1.601384743060471905e-01
3.605000224947000333e+02,5.361747746684780226e-12,4.506250000000067075e+02,1.338564559132746190e+00
4.531000282728116986e+02,9.660016257055919566e-14,2.831874999999942020e+02,9.686571177872421376e-03
3.629000226444567261e+02,5.116678654352206342e-12,4.032222222222378036e+02,1.464307708871361191e+00
3.610000225258993396e+02,5.460292920951481645e-12,5.157142857143195442e+02,6.833417972229142157e-01
4.202000262198972678e+02,1.363904337358100512e-12,5.252500000000003944e+00,9.815005705007600056e-01
3.764000234868379948e+02,3.545655389851693286e-12,2.509333333333239864e+02,9.167461625716966100e-01
3.885000242418611833e+02,1.626853756624875131e-10,4.856250000000416662e+02,1.365715894349006990e-02
