min_lateral_minus_MQWt_plus_2monolayer
-1.217842631370297246e-01
-5.922402681268853497e-01
-4.498049919024159626e-01
-5.011164267971179864e-02
-4.760414802692406466e-01
-1.152312265179892270e-01
-9.131007347146657960e-02
-6.122392779437538790e-01
-9.015810733420204226e-02
-4.498049919024159626e-01
