ARG1,ARG2,ARG3,ARG4,ARG5,ARG6,ARG7,max_energy_eV,max_photocurrent,quality_factor,prominence
6.463257168611614034e+00,2.955433079319629286e+00,8.327080099468799901e+00,1.710266014811579360e+00,7.813027630165207960e+00,2.547473905461258070e+00,6.739728646644137733e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.127466926654347112e+00,2.233799758964469362e+00,9.108914308521841363e+00,1.901051299448139442e+00,8.578478195725381283e+00,3.194403648172551069e+00,6.587606632785168337e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.908661188541626919e+00,2.139187025197799130e+00,8.250954284932921823e+00,4.478183901163887981e+00,8.349881669325220912e+00,3.202343262537010737e+00,6.666493597629084000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.778855955372592668e+00,2.409318930599906317e+00,8.321242110917662416e+00,3.911582190044192053e+00,8.419712836855318017e+00,3.352677872046715191e+00,6.918867563277375510e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.581920294386028214e+00,2.955433079319629286e+00,8.051101042189181101e+00,1.943518869574854646e+00,8.075545188707272004e+00,3.255403709118026345e+00,6.739728646644137733e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.248429939407016853e+00,2.409318930599906317e+00,9.335909459829220935e+00,3.884377350631295744e+00,8.092918213630555968e+00,3.168382989823342655e+00,6.918903293398891208e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.285950351249570023e+00,2.513943314163562537e+00,9.752705205638594776e+00,1.837613354970846213e+00,7.056956793715390752e+00,2.927555084188915302e+00,4.163953187535027745e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.908661188541626919e+00,3.257691890487246944e+00,8.372506870966253345e+00,4.478183901163887981e+00,8.349881669325220912e+00,3.202343262537010737e+00,6.629013851153625403e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.832547434226956984e+00,2.612924037188222304e+00,8.297681382728944399e+00,2.341169372645089730e+00,8.086706746901647591e+00,2.668258622396574964e+00,6.924260597263750761e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.244971679265496789e+00,2.985820875705929467e+00,9.161910481805193740e+00,1.902864674077768603e+00,4.385658709719021608e+00,3.034528319219192749e+00,6.449269736211101112e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
